Dia;Sector;Duracao;Inicio;Final
10/11/2023;A;14;08:30;08:44
10/11/2023;B;8;08:44;08:52
10/11/2023;C;25;08:52;09:17
10/11/2023;E;7;09:17;09:24
10/11/2023;F;10;09:24;09:34
10/11/2023;A;14;17:00;17:14
10/11/2023;B;8;17:14;17:22
10/11/2023;C;25;17:22;17:47
10/11/2023;E;7;17:47;17:54
10/11/2023;F;10;17:54;18:04
11/11/2023;A;14;08:30;08:44
11/11/2023;B;8;08:44;08:52
11/11/2023;D;25;08:52;09:17
11/11/2023;E;7;09:17;09:24
11/11/2023;A;14;17:00;17:14
11/11/2023;B;8;17:14;17:22
11/11/2023;D;25;17:22;17:47
11/11/2023;E;7;17:47;17:54
12/11/2023;A;14;08:30;08:44
12/11/2023;B;8;08:44;08:52
12/11/2023;C;25;08:52;09:17
12/11/2023;E;7;09:17;09:24
12/11/2023;A;14;17:00;17:14
12/11/2023;B;8;17:14;17:22
12/11/2023;C;25;17:22;17:47
12/11/2023;E;7;17:47;17:54
13/11/2023;A;14;08:30;08:44
13/11/2023;B;8;08:44;08:52
13/11/2023;D;25;08:52;09:17
13/11/2023;E;7;09:17;09:24
13/11/2023;F;10;09:24;09:34
13/11/2023;A;14;17:00;17:14
13/11/2023;B;8;17:14;17:22
13/11/2023;D;25;17:22;17:47
13/11/2023;E;7;17:47;17:54
13/11/2023;F;10;17:54;18:04
14/11/2023;A;14;08:30;08:44
14/11/2023;B;8;08:44;08:52
14/11/2023;C;25;08:52;09:17
14/11/2023;E;7;09:17;09:24
14/11/2023;A;14;17:00;17:14
14/11/2023;B;8;17:14;17:22
14/11/2023;C;25;17:22;17:47
14/11/2023;E;7;17:47;17:54
15/11/2023;A;14;08:30;08:44
15/11/2023;B;8;08:44;08:52
15/11/2023;D;25;08:52;09:17
15/11/2023;E;7;09:17;09:24
15/11/2023;A;14;17:00;17:14
15/11/2023;B;8;17:14;17:22
15/11/2023;D;25;17:22;17:47
15/11/2023;E;7;17:47;17:54
16/11/2023;A;14;08:30;08:44
16/11/2023;B;8;08:44;08:52
16/11/2023;C;25;08:52;09:17
16/11/2023;E;7;09:17;09:24
16/11/2023;F;10;09:24;09:34
16/11/2023;A;14;17:00;17:14
16/11/2023;B;8;17:14;17:22
16/11/2023;C;25;17:22;17:47
16/11/2023;E;7;17:47;17:54
16/11/2023;F;10;17:54;18:04
17/11/2023;A;14;08:30;08:44
17/11/2023;B;8;08:44;08:52
17/11/2023;D;25;08:52;09:17
17/11/2023;E;7;09:17;09:24
17/11/2023;A;14;17:00;17:14
17/11/2023;B;8;17:14;17:22
17/11/2023;D;25;17:22;17:47
17/11/2023;E;7;17:47;17:54
18/11/2023;A;14;08:30;08:44
18/11/2023;B;8;08:44;08:52
18/11/2023;C;25;08:52;09:17
18/11/2023;E;7;09:17;09:24
18/11/2023;A;14;17:00;17:14
18/11/2023;B;8;17:14;17:22
18/11/2023;C;25;17:22;17:47
18/11/2023;E;7;17:47;17:54
19/11/2023;A;14;08:30;08:44
19/11/2023;B;8;08:44;08:52
19/11/2023;D;25;08:52;09:17
19/11/2023;E;7;09:17;09:24
19/11/2023;F;10;09:24;09:34
19/11/2023;A;14;17:00;17:14
19/11/2023;B;8;17:14;17:22
19/11/2023;D;25;17:22;17:47
19/11/2023;E;7;17:47;17:54
19/11/2023;F;10;17:54;18:04
20/11/2023;A;14;08:30;08:44
20/11/2023;B;8;08:44;08:52
20/11/2023;C;25;08:52;09:17
20/11/2023;E;7;09:17;09:24
20/11/2023;A;14;17:00;17:14
20/11/2023;B;8;17:14;17:22
20/11/2023;C;25;17:22;17:47
20/11/2023;E;7;17:47;17:54
21/11/2023;A;14;08:30;08:44
21/11/2023;B;8;08:44;08:52
21/11/2023;D;25;08:52;09:17
21/11/2023;E;7;09:17;09:24
21/11/2023;A;14;17:00;17:14
21/11/2023;B;8;17:14;17:22
21/11/2023;D;25;17:22;17:47
21/11/2023;E;7;17:47;17:54
22/11/2023;A;14;08:30;08:44
22/11/2023;B;8;08:44;08:52
