Dia;Sector;Duracao;Inicio;Final;Mix
9/1/2024;A;14;08:30;08:44;mix1
9/1/2024;B;8;08:44;08:52;NULL
9/1/2024;D;25;08:52;09:17;NULL
9/1/2024;E;7;09:17;09:24;mix1
9/1/2024;F;10;09:24;09:34;NULL
9/1/2024;A;14;17:00;17:14;mix1
9/1/2024;B;8;17:14;17:22;NULL
9/1/2024;D;25;17:22;17:47;NULL
9/1/2024;E;7;17:47;17:54;mix1
9/1/2024;F;10;17:54;18:04;NULL
10/1/2024;A;14;08:30;08:44;NULL
10/1/2024;B;8;08:44;08:52;NULL
10/1/2024;C;25;08:52;09:17;NULL
10/1/2024;E;7;09:17;09:24;NULL
10/1/2024;A;14;17:00;17:14;NULL
10/1/2024;B;8;17:14;17:22;NULL
10/1/2024;C;25;17:22;17:47;NULL
10/1/2024;E;7;17:47;17:54;NULL
11/1/2024;A;14;08:30;08:44;NULL
11/1/2024;B;8;08:44;08:52;NULL
11/1/2024;D;25;08:52;09:17;NULL
11/1/2024;E;7;09:17;09:24;NULL
11/1/2024;A;14;17:00;17:14;NULL
11/1/2024;B;8;17:14;17:22;NULL
11/1/2024;D;25;17:22;17:47;NULL
11/1/2024;E;7;17:47;17:54;NULL
12/1/2024;A;14;08:30;08:44;NULL
12/1/2024;B;8;08:44;08:52;NULL
12/1/2024;C;25;08:52;09:17;NULL
12/1/2024;E;7;09:17;09:24;mix1
12/1/2024;F;10;09:24;09:34;NULL
12/1/2024;A;14;17:00;17:14;NULL
12/1/2024;B;8;17:14;17:22;NULL
12/1/2024;C;25;17:22;17:47;NULL
12/1/2024;E;7;17:47;17:54;mix1
12/1/2024;F;10;17:54;18:04;NULL
13/1/2024;A;14;08:30;08:44;NULL
13/1/2024;B;8;08:44;08:52;NULL
13/1/2024;D;25;08:52;09:17;NULL
13/1/2024;E;7;09:17;09:24;NULL
13/1/2024;A;14;17:00;17:14;NULL
13/1/2024;B;8;17:14;17:22;NULL
13/1/2024;D;25;17:22;17:47;NULL
13/1/2024;E;7;17:47;17:54;NULL
14/1/2024;A;14;08:30;08:44;mix1
14/1/2024;B;8;08:44;08:52;NULL
14/1/2024;C;25;08:52;09:17;NULL
14/1/2024;E;7;09:17;09:24;NULL
14/1/2024;A;14;17:00;17:14;mix1
14/1/2024;B;8;17:14;17:22;NULL
14/1/2024;C;25;17:22;17:47;NULL
14/1/2024;E;7;17:47;17:54;NULL
15/1/2024;A;14;08:30;08:44;NULL
15/1/2024;B;8;08:44;08:52;NULL
15/1/2024;D;25;08:52;09:17;NULL
15/1/2024;E;7;09:17;09:24;mix1
15/1/2024;F;10;09:24;09:34;NULL
15/1/2024;A;14;17:00;17:14;NULL
15/1/2024;B;8;17:14;17:22;NULL
15/1/2024;D;25;17:22;17:47;NULL
15/1/2024;E;7;17:47;17:54;mix1
15/1/2024;F;10;17:54;18:04;NULL
16/1/2024;A;14;08:30;08:44;NULL
16/1/2024;B;8;08:44;08:52;NULL
16/1/2024;C;25;08:52;09:17;mix2
16/1/2024;E;7;09:17;09:24;NULL
16/1/2024;A;14;17:00;17:14;NULL
16/1/2024;B;8;17:14;17:22;NULL
16/1/2024;C;25;17:22;17:47;mix2
16/1/2024;E;7;17:47;17:54;NULL
17/1/2024;A;14;08:30;08:44;NULL
17/1/2024;B;8;08:44;08:52;NULL
17/1/2024;D;25;08:52;09:17;NULL
17/1/2024;E;7;09:17;09:24;NULL
17/1/2024;A;14;17:00;17:14;NULL
17/1/2024;B;8;17:14;17:22;NULL
17/1/2024;D;25;17:22;17:47;NULL
17/1/2024;E;7;17:47;17:54;NULL
18/1/2024;A;14;08:30;08:44;NULL
18/1/2024;B;8;08:44;08:52;NULL
18/1/2024;C;25;08:52;09:17;NULL
18/1/2024;E;7;09:17;09:24;mix1
18/1/2024;F;10;09:24;09:34;NULL
18/1/2024;A;14;17:00;17:14;NULL
18/1/2024;B;8;17:14;17:22;NULL
18/1/2024;C;25;17:22;17:47;NULL
18/1/2024;E;7;17:47;17:54;mix1
18/1/2024;F;10;17:54;18:04;NULL
19/1/2024;A;14;08:30;08:44;mix1
19/1/2024;B;8;08:44;08:52;NULL
19/1/2024;D;25;08:52;09:17;NULL
19/1/2024;E;7;09:17;09:24;NULL
19/1/2024;A;14;17:00;17:14;mix1
19/1/2024;B;8;17:14;17:22;NULL
19/1/2024;D;25;17:22;17:47;NULL
19/1/2024;E;7;17:47;17:54;NULL
20/1/2024;A;14;08:30;08:44;NULL
20/1/2024;B;8;08:44;08:52;NULL
20/1/2024;C;25;08:52;09:17;NULL
20/1/2024;E;7;09:17;09:24;NULL
20/1/2024;A;14;17:00;17:14;NULL
20/1/2024;B;8;17:14;17:22;NULL
20/1/2024;C;25;17:22;17:47;NULL
20/1/2024;E;7;17:47;17:54;NULL
21/1/2024;A;14;08:30;08:44;NULL
21/1/2024;B;8;08:44;08:52;NULL
21/1/2024;D;25;08:52;09:17;NULL
21/1/2024;E;7;09:17;09:24;mix1
21/1/2024;F;10;09:24;09:34;NULL
21/1/2024;A;14;17:00;17:14;NULL
21/1/2024;B;8;17:14;17:22;NULL
21/1/2024;D;25;17:22;17:47;NULL
21/1/2024;E;7;17:47;17:54;mix1
21/1/2024;F;10;17:54;18:04;NULL
22/1/2024;A;14;08:30;08:44;NULL
22/1/2024;B;8;08:44;08:52;NULL
22/1/2024;C;25;08:52;09:17;NULL
22/1/2024;E;7;09:17;09:24;NULL
22/1/2024;A;14;17:00;17:14;NULL
22/1/2024;B;8;17:14;17:22;NULL
22/1/2024;C;25;17:22;17:47;NULL
22/1/2024;E;7;17:47;17:54;NULL
23/1/2024;A;14;08:30;08:44;NULL
23/1/2024;B;8;08:44;08:52;NULL
23/1/2024;D;25;08:52;09:17;NULL
23/1/2024;E;7;09:17;09:24;NULL
23/1/2024;A;14;17:00;17:14;NULL
23/1/2024;B;8;17:14;17:22;NULL
23/1/2024;D;25;17:22;17:47;NULL
23/1/2024;E;7;17:47;17:54;NULL
24/1/2024;A;14;08:30;08:44;mix1
24/1/2024;B;8;08:44;08:52;NULL
24/1/2024;C;25;08:52;09:17;NULL
24/1/2024;E;7;09:17;09:24;mix1
24/1/2024;F;10;09:24;09:34;NULL
24/1/2024;A;14;17:00;17:14;mix1
24/1/2024;B;8;17:14;17:22;NULL
24/1/2024;C;25;17:22;17:47;NULL
24/1/2024;E;7;17:47;17:54;mix1
24/1/2024;F;10;17:54;18:04;NULL
25/1/2024;A;14;08:30;08:44;NULL
25/1/2024;B;8;08:44;08:52;NULL
25/1/2024;D;25;08:52;09:17;NULL
25/1/2024;E;7;09:17;09:24;NULL
25/1/2024;A;14;17:00;17:14;NULL
25/1/2024;B;8;17:14;17:22;NULL
25/1/2024;D;25;17:22;17:47;NULL
25/1/2024;E;7;17:47;17:54;NULL
26/1/2024;A;14;08:30;08:44;NULL
26/1/2024;B;8;08:44;08:52;NULL
26/1/2024;C;25;08:52;09:17;NULL
26/1/2024;E;7;09:17;09:24;NULL
26/1/2024;A;14;17:00;17:14;NULL
26/1/2024;B;8;17:14;17:22;NULL
26/1/2024;C;25;17:22;17:47;NULL
26/1/2024;E;7;17:47;17:54;NULL
27/1/2024;A;14;08:30;08:44;NULL
27/1/2024;B;8;08:44;08:52;NULL
27/1/2024;D;25;08:52;09:17;NULL
27/1/2024;E;7;09:17;09:24;mix1
27/1/2024;F;10;09:24;09:34;NULL
27/1/2024;A;14;17:00;17:14;NULL
27/1/2024;B;8;17:14;17:22;NULL
27/1/2024;D;25;17:22;17:47;NULL
27/1/2024;E;7;17:47;17:54;mix1
27/1/2024;F;10;17:54;18:04;NULL
28/1/2024;A;14;08:30;08:44;NULL
28/1/2024;B;8;08:44;08:52;NULL
28/1/2024;C;25;08:52;09:17;NULL
28/1/2024;E;7;09:17;09:24;NULL
28/1/2024;A;14;17:00;17:14;NULL
28/1/2024;B;8;17:14;17:22;NULL
28/1/2024;C;25;17:22;17:47;NULL
28/1/2024;E;7;17:47;17:54;NULL
29/1/2024;A;14;08:30;08:44;mix1
29/1/2024;B;8;08:44;08:52;NULL
29/1/2024;D;25;08:52;09:17;NULL
29/1/2024;E;7;09:17;09:24;NULL
29/1/2024;A;14;17:00;17:14;mix1
29/1/2024;B;8;17:14;17:22;NULL
29/1/2024;D;25;17:22;17:47;NULL
29/1/2024;E;7;17:47;17:54;NULL
30/1/2024;A;14;08:30;08:44;NULL
30/1/2024;B;8;08:44;08:52;NULL
30/1/2024;C;25;08:52;09:17;mix2
30/1/2024;E;7;09:17;09:24;mix1
30/1/2024;F;10;09:24;09:34;NULL
30/1/2024;A;14;17:00;17:14;NULL
30/1/2024;B;8;17:14;17:22;NULL
30/1/2024;C;25;17:22;17:47;mix2
30/1/2024;E;7;17:47;17:54;mix1
30/1/2024;F;10;17:54;18:04;NULL
31/1/2024;A;14;08:30;08:44;NULL
31/1/2024;B;8;08:44;08:52;NULL
31/1/2024;D;25;08:52;09:17;NULL
31/1/2024;E;7;09:17;09:24;NULL
31/1/2024;A;14;17:00;17:14;NULL
31/1/2024;B;8;17:14;17:22;NULL
31/1/2024;D;25;17:22;17:47;NULL
31/1/2024;E;7;17:47;17:54;NULL
1/2/2024;A;14;08:30;08:44;NULL
1/2/2024;B;8;08:44;08:52;NULL
1/2/2024;D;25;08:52;09:17;NULL
1/2/2024;E;7;09:17;09:24;NULL
1/2/2024;A;14;17:00;17:14;NULL
1/2/2024;B;8;17:14;17:22;NULL
1/2/2024;D;25;17:22;17:47;NULL
1/2/2024;E;7;17:47;17:54;NULL
2/2/2024;A;14;08:30;08:44;NULL
2/2/2024;B;8;08:44;08:52;NULL
2/2/2024;C;25;08:52;09:17;NULL
2/2/2024;E;7;09:17;09:24;mix1
2/2/2024;F;10;09:24;09:34;NULL
2/2/2024;A;14;17:00;17:14;NULL
2/2/2024;B;8;17:14;17:22;NULL
2/2/2024;C;25;17:22;17:47;NULL
2/2/2024;E;7;17:47;17:54;mix1
2/2/2024;F;10;17:54;18:04;NULL
3/2/2024;A;14;08:30;08:44;mix1
3/2/2024;B;8;08:44;08:52;NULL
3/2/2024;D;25;08:52;09:17;NULL
3/2/2024;E;7;09:17;09:24;NULL
3/2/2024;A;14;17:00;17:14;mix1
